name,email,phone,company,position
John Doe,john.doe@techcorp.com,+1234567890,TechCorp Solutions,Marketing Manager
Jane Smith,jane.smith@innovate.com,+1234567891,Innovate Labs,Product Director
Mike Johnson,mike.j@startup.io,+1234567892,Startup.io,CEO
Sarah Williams,sarah.w@enterprise.com,+1234567893,Enterprise Inc,Sales Lead
Robert Brown,robert.brown@digital.com,+1234567894,Digital Agency,Business Development
Emily Davis,emily.d@consulting.com,+1234567895,Consulting Group,Senior Consultant
David Miller,david.miller@finance.com,+1234567896,Finance Pro,Investment Manager
Lisa Anderson,lisa.a@healthcare.com,+1234567897,Healthcare Plus,Operations Manager
James Wilson,james.wilson@retail.com,+1234567898,Retail Chain,Store Manager
Jennifer Taylor,jennifer.t@education.com,+1234567899,Education Corp,Program Director
Michael Martinez,michael.m@logistics.com,+1234567800,Logistics Hub,Supply Chain Manager
Jessica Garcia,jessica.garcia@media.com,+1234567801,Media House,Content Director
Christopher Lee,chris.lee@manufacturing.com,+1234567802,Manufacturing Co,Production Manager
Amanda Rodriguez,amanda.r@realestate.com,+1234567803,Real Estate Pro,Property Manager
Daniel Hernandez,daniel.h@construction.com,+1234567804,Construction Ltd,Project Manager
Michelle Lopez,michelle.l@hospitality.com,+1234567805,Hospitality Group,Guest Relations
Kevin Gonzalez,kevin.g@automotive.com,+1234567806,Automotive Inc,Sales Director
Ashley Perez,ashley.p@fashion.com,+1234567807,Fashion Brand,Marketing Head
Brian Turner,brian.t@insurance.com,+1234567808,Insurance Corp,Risk Analyst
Stephanie Phillips,stephanie.p@legal.com,+1234567809,Legal Associates,Senior Partner
